OP_gave_delta,num_prior_subs,avg_sub_score,gini_index
TRUE,248,67.69354838709677,0.6757455873402313
FALSE,125,72.52,0.4544000000000001
FALSE,62,84.16129032258064,0.39096774193548384
FALSE,55,71.96363636363637,0.506611570247934
FALSE,162,79.32098765432099,0.654673721340388
TRUE,4,66.75,0
TRUE,83,63.08433734939759,0.5417224453369032
FALSE,197,73.38578680203045,0.7348869404706968
TRUE,246,55.04471544715447,0.46170303808301244
TRUE,75,76.53333333333333,0.5605128205128204
TRUE,88,85.57954545454545,0.5621212121212122
FALSE,4,114.5,0
FALSE,79,79.44303797468355,0.3862567811934901
TRUE,179,72.91620111731844,0.4471902727571476
TRUE,2,6.5,0
TRUE,182,71.5,0.6248653307476837
TRUE,104,78.86538461538461,0.6715976331360947
FALSE,206,62.87864077669903,0.5866265554492001
FALSE,36,69.52777777777777,0.5416666666666666
TRUE,86,75.82558139534883,0.7930232558139536
TRUE,36,69.61111111111111,0.3156565656565656
FALSE,589,64.01867572156198,0.6579959813710067
FALSE,171,68.86549707602339,0.5530348860657391
FALSE,2,35,0
FALSE,312,65.17948717948718,0.6474358974358974
TRUE,136,71.81617647058823,0.5005252100840336
TRUE,1,10,0
FALSE,118,80.70338983050847,0.424766516776202
TRUE,582,61.393470790378004,0.5737640774386717
TRUE,61,65.8360655737705,0.5636221701795472
FALSE,5,36.8,0
TRUE,7,45.142857142857146,0.11904761904761907
FALSE,15,54.93333333333333,0.21999999999999992
TRUE,14,93,0.15584415584415579
FALSE,15,54.93333333333333,0.21999999999999992
TRUE,18,65.22222222222223,0.2929292929292929
TRUE,317,67.42271293375394,0.4563340527976092
FALSE,301,68.97674418604652,0.5409980914681558
FALSE,203,72.65517241379311,0.6428106701366298
TRUE,14,69.14285714285714,0.22857142857142865
FALSE,270,65.42592592592592,0.5244922341696534
TRUE,14,69.71428571428571,0.15584415584415579
FALSE,55,87,0.40584415584415595
FALSE,120,65.40833333333333,0.4030555555555556
TRUE,55,56.472727272727276,0.3676136363636364
FALSE,120,66.80833333333334,0.4970833333333333
TRUE,1,88,0
TRUE,159,79.17610062893081,0.7034198113207548
TRUE,17,117.82352941176471,0.3897058823529411
FALSE,368,62.95923913043478,0.5721260132645543
FALSE,24,101.875,0.3958333333333333
FALSE,92,76.1086956521739,0.46497584541062803
TRUE,201,73.02487562189054,0.6398197690791327
FALSE,6,38.333333333333336,0
FALSE,31,58.516129032258064,0.2963709677419355
TRUE,18,108.88888888888889,0.3580246913580246
TRUE,34,73.61764705882354,0.39607843137254906
TRUE,105,70.41904761904762,0.5388632872503839
FALSE,32,58.5,0.31875
TRUE,166,56.1566265060241,0.5962674226317033
FALSE,107,79.96261682242991,0.4129783107035797
FALSE,15,65.33333333333333,0.2303030303030303
TRUE,4,426.75,0
FALSE,3,8.666666666666666,0.16666666666666674
TRUE,63,64.07936507936508,0.6555555555555557
TRUE,248,57.850806451612904,0.45882852292020376
TRUE,66,53.484848484848484,0.3680926916221034
FALSE,5,16,0.1499999999999999
TRUE,4,160.5,0.16666666666666666
TRUE,166,65.17469879518072,0.5261044176706827
FALSE,4,114.75,0
